X;Y;Num_Sitio;Cantidad de Muestreos;Sitio;Station;Data;Setup;Retrieval;Cantidad_de_muestreos;PA_Axis;PA_Canidae;PA_Cingulata;PA_Hydrochoerus;Pa_Leopardus;PA_Mazama;PA_Rhea;PA_Sus;Prop_Axis;Prop_Canidae;Prop_Cingulata;Prop_Hydrochoerus;Prop_Leopardus;Prop_Mazama;Prop_Rhea;Prop_Sus;Frac_Axis;Frac_Canidae;Frac_Cingulata;Frac_Hydrochoerus;Frac_Leopardus;Frac_Mazama;Frac_Rhea;Frac_Sus
-58,227845;-31,860396;1;1;1(1);2;nv17_s2_c1;43039;43057;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1-ene;1-ene;;1-ene;;;;
-58,230216;-31,865035;2;2;2(2);3;ab17_s3_c5;42852;42878;2;1;0;0;1;0;1;0;0;0,5;0;0;0,5;0;0,5;0;0;1-feb;;;1-feb;;1-feb;;
-58,231766;-31,870116;3;1;3(1);4;ab17_s4_c6;42852;42863;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1-ene;;;;;;;
-58,22531;-31,873843;4;1;4(1);6;ab17_s6_c4;42852;42879;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1-ene;1-ene;;1-ene;;;;
-58,227485;-31,874753;5;1;5(1);7;nv17_s7_c2;43040;43075;1;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;1-ene;;;1-ene;;1-ene;;
-58,231434;-31,876121;6;1;6(1);8;ab17_s8_c7;42852;42879;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1-ene;;;1-ene;;;;
-58,2381;-31,87016;7;4;7(4);10;jl17_s10_c3;42940;42977;4;1;1;1;1;1;0;0;1;1;0,25;0,25;1;0,25;0;0;0,75;4-abr;1-abr;1-abr;4-abr;1-abr;;;3-abr
-58,23119;-31,892851;8;3;8(3);11;ab18_s11_c8;43217;43305;3;1;1;1;1;1;0;1;0;0,666666667;0,333333333;0,666666667;0,666666667;0,666666667;0;0,333333333;0;2-mar;1-mar;2-mar;2-mar;2-mar;;1-mar;
-58,23395;-31,88551;9;1;9(1);13;jl17_s13_c1;42939;42977;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1-ene;;;1-ene;;;;
-58,240537;-31,893956;10;3;10(3);17;ab18_s17_c9;43217;43252;3;1;1;1;1;1;1;0;0;1;1;0,666666667;1;0,666666667;0,333333333;0;0;3-mar;3-mar;2-mar;3-mar;2-mar;1-mar;;
-58,249559;-31,886923;11;1;11(1);19;nv17_s19_c3;43040;43075;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1-ene;;;1-ene;;1-ene;1-ene;
-58,23771;-31,8818;12;5;12(5);21;jl17_s21_c2;42940;42977;5;1;1;1;1;0;0;1;1;0,8;0,8;0,2;1;0;0;0,6;0,4;4-may;4-may;1-may;5-may;;;3-may;2-may
-58,243043;-31,878897;13;4;13(4);23;nv17_s23_c4;43042;43075;4;1;1;1;1;1;1;1;1;1;0,75;0,75;1;0,75;0,75;0,25;0,75;4-abr;3-abr;3-abr;4-abr;3-abr;3-abr;1-abr;3-abr
-58,268836;-31,886126;14;1;14(1);26;nv17_s26_c5;43042;43075;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1-ene;;;1-ene;;;;
-58,27087;-31,88292;15;2;15(2);28;jl17_s28_c7;42941;42957;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2-feb;;;;;;;
-58,267753;-31,88083;16;3;16(3);29;ab18_s29_c11;43217;43306;3;1;1;1;1;1;1;0;1;1;0,666666667;1;1;1;1;0;1;3-mar;2-mar;3-mar;3-mar;3-mar;3-mar;;3-mar
-58,267565;-31,871245;17;2;17(2);34;ab17_s34_c3;42853;42879;2;1;0;0;0;0;1;1;0;1;0;0;0;0;0,5;1;0;2-feb;;;;;1-feb;2-feb;
-58,271488;-31,871094;18;3;18(3);35;ab18_s35_c3;43217;43304;3;1;1;1;1;1;1;1;1;1;0,333333333;0,666666667;1;0,333333333;0,333333333;1;0,666666667;3-mar;1-mar;2-mar;3-mar;1-mar;1-mar;3-mar;2-mar
-58,276367;-31,86899;19;2;19(2);37;ab18_s37_c4;43217;43234;2;1;0;0;0;0;0;0;1;0,5;0;0;0;0;0;0;0,5;1-feb;;;;;;;1-feb
-58,282752;-31,865745;20;2;20(2);39;nv17_s39_c6;43043;43074;2;1;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;1-feb;;;;;;;
-58,285162;-31,871817;21;3;21(3);40;fb18_s40_c7;43142;43172;3;1;1;1;1;0;1;0;1;1;0,333333333;0,333333333;0,666666667;0;0,333333333;0;1;3-mar;1-mar;1-mar;2-mar;;1-mar;;3-mar
